CellID,CenterLatitude,CenterLongitude,CenterX_m,CenterY_m
Cell_001,33.1221686054133,129.735025338389,1208520.00903184,1461238.69605241
Cell_002,33.1191818486843,129.895685208077,1223520.00903184,1461238.69605241
Cell_003,33.2533747121672,126.276392223008,886020.009031845,1474229.07710917
Cell_004,33.2548548233252,126.437395611515,901020.009031845,1474229.07710917
Cell_005,33.2406758756542,129.657555998111,1201020.00903184,1474229.07710917
Cell_006,33.2377797614607,129.818441026583,1216020.00903184,1474229.07710917
Cell_007,33.2346758300235,129.979302213014,1231020.00903184,1474229.07710917
Cell_008,33.3712896476926,126.355362393247,893520.009031845,1487219.45816594
Cell_009,33.3726716690235,126.5165868801,908520.009031845,1487219.45816594
Cell_010,33.3738443336478,126.677821536975,923520.009031845,1487219.45816594
Cell_011,33.3563365539436,129.740994704213,1208520.00903184,1487219.45816594
Cell_012,33.353323204363,129.902082697691,1223520.00903184,1487219.45816594
Cell_013,34.1826735432375,129.355772983624,1171020.00903184,1578152.1255633
Cell_014,34.3098294664677,126.505791670808,908520.009031845,1591142.50662007
Cell_015,34.3009754014485,129.276883715738,1163520.00903184,1591142.50662007
Cell_016,34.2985033148943,129.439801827553,1178520.00903184,1591142.50662007
Cell_017,34.4276011125133,126.586021133678,916020.009031845,1604132.88767684
Cell_018,34.4168568839855,129.360932410479,1171020.00903184,1604132.88767684
Cell_019,34.5440960670341,126.503014024079,908520.009031845,1617123.2687336
Cell_020,34.5453213316502,126.666473322067,923520.009031845,1617123.2687336
Cell_021,34.5463278074103,126.829941607803,938520.009031845,1617123.2687336
Cell_022,34.6618686855018,126.583456343847,916020.009031845,1630113.64979037
Cell_023,34.6629894229943,126.747149992634,931020.009031845,1630113.64979037
Cell_024,34.6638903995089,126.910851794084,946020.009031845,1630113.64979037
Cell_025,34.6645715831055,127.074559975952,961020.009031845,1630113.64979037
Cell_026,34.6652961738489,127.565705075885,1006020.00903184,1630113.64979037
Cell_027,34.6650980222026,127.729421050172,1021020.00903184,1630113.64979037
Cell_028,34.664680034823,127.893134539594,1036020.00903184,1630113.64979037
Cell_029,34.7783534656816,126.500204129132,908520.009031845,1643104.03084714
Cell_030,34.779589422981,126.66412397575,923520.009031845,1643104.03084714
Cell_031,34.7806046823249,126.828052912252,938520.009031845,1643104.03084714
Cell_032,34.781399207654,126.991989156599,953520.009031845,1643104.03084714
Cell_033,34.7819729707467,127.155930926259,968520.009031845,1643104.03084714
Cell_034,34.7820601107612,127.811717596815,1028520.00903184,1643104.03084714
Cell_035,34.8947749341812,126.416714901686,901020.009031845,1656094.4119039
Cell_036,34.8961270722604,126.580861780271,916020.009031845,1656094.4119039
Cell_037,34.8972575749601,126.745018696365,931020.009031845,1656094.4119039
Cell_038,34.8981664020521,126.90918385808,946020.009031845,1656094.4119039
Cell_039,34.8988535211935,127.073355472969,961020.009031845,1656094.4119039
Cell_040,34.8993189079293,127.237531748147,976020.009031845,1656094.4119039
Cell_041,34.8995625456954,127.401710890411,991020.009031845,1656094.4119039
Cell_042,34.8974544727189,128.222586839124,1066020.00903184,1656094.4119039
Cell_043,34.8963677108022,128.386745524274,1081020.00903184,1656094.4119039
Cell_044,35.0126016321937,126.497361619529,908520.009031845,1669084.79296067
Cell_045,35.0138483417063,126.661747359166,923520.009031845,1669084.79296067
Cell_046,35.0148724335414,126.82614229267,938520.009031845,1669084.79296067
Cell_047,35.0156738711848,126.990544617623,953520.009031845,1669084.79296067
Cell_048,35.0162526260584,127.154952531105,968520.009031845,1669084.79296067
Cell_049,35.0166086775234,127.319364229812,983520.009031845,1669084.79296067
Cell_050,35.0167420128822,127.483777910182,998520.009031845,1669084.79296067
Cell_051,35.0166526273797,127.648191768519,1013520.00903184,1669084.79296067
Cell_052,35.0163405242035,127.812604001113,1028520.00903184,1669084.79296067
Cell_053,35.0158057144841,127.977012804366,1043520.00903184,1669084.79296067
Cell_054,35.0150482172934,128.141416374914,1058520.00903184,1669084.79296067
Cell_055,35.014068059643,128.30581290975,1073520.00903184,1669084.79296067
Cell_056,35.0128652764814,128.470200606348,1088520.00903184,1669084.79296067
Cell_057,35.0079216423909,128.963292651251,1133520.00903184,1669084.79296067
Cell_058,35.12901236058,126.413621697014,901020.009031845,1682075.17401744
Cell_059,35.1303762433055,126.578237103491,916020.009031845,1682075.17401744
Cell_060,35.1315165658268,126.742862662672,931020.009031845,1682075.17401744
Cell_061,35.1324332874078,126.907496562113,946020.009031845,1682075.17401744
Cell_062,35.1331263752968,127.072136988802,961020.009031845,1682075.17401744
Cell_063,35.1335958047302,127.236782129276,976020.009031845,1682075.17401744
Cell_064,35.1338415589346,127.40143016975,991020.009031845,1682075.17401744
Cell_065,35.1338636291285,127.566079296238,1006020.00903184,1682075.17401744
Cell_066,35.1336620145233,127.730727694681,1021020.00903184,1682075.17401744
Cell_067,35.1332367223233,127.895373551071,1036020.00903184,1682075.17401744
Cell_068,35.1325877677248,128.060015051572,1051020.00903184,1682075.17401744
Cell_069,35.1317151739151,128.224650382649,1066020.00903184,1682075.17401744
Cell_070,35.1306189720696,128.389277731189,1081020.00903184,1682075.17401744
Cell_071,35.1292992013492,128.553895284628,1096020.00903184,1682075.17401744
Cell_072,35.1277559088959,128.718501231072,1111020.00903184,1682075.17401744
Cell_073,35.1259891498289,128.883093759426,1126020.00903184,1682075.17401744
Cell_074,35.1239989872382,129.047671059513,1141020.00903184,1682075.17401744
Cell_075,35.2468405369177,126.494486122211,908520.009031845,1695065.5550742
Cell_076,35.2480980590439,126.659343160356,923520.009031845,1695065.5550742
Cell_077,35.2491310329932,126.824209498233,938520.009031845,1695065.5550742
Cell_078,35.2499394217897,126.98908331268,953520.009031845,1695065.5550742
Cell_079,35.2505231964943,127.153962780016,968520.009031845,1695065.5550742
