Source,Target,IntervalNumber,StartTime,EndTime,Duration,StartOrbit,EndOrbit
Ground_Point_1,SAT_1,1,01-Jan-2030 21:06:00,01-Jan-2030 21:06:55,55,NaN,NaN
Ground_Point_1,SAT_1,2,04-Jan-2030 08:30:50,04-Jan-2030 08:32:05,75,NaN,NaN
Ground_Point_1,SAT_1,3,05-Jan-2030 21:12:45,05-Jan-2030 21:14:00,75,NaN,NaN
Ground_Point_2,SAT_1,1,01-Jan-2030 21:06:20,01-Jan-2030 21:07:35,75,NaN,NaN
Ground_Point_2,SAT_1,2,04-Jan-2030 08:30:20,04-Jan-2030 08:31:10,50,NaN,NaN
Ground_Point_2,SAT_1,3,05-Jan-2030 08:08:55,05-Jan-2030 08:09:20,25,NaN,NaN
Ground_Point_2,SAT_1,4,05-Jan-2030 21:13:20,05-Jan-2030 21:14:25,65,NaN,NaN
Ground_Point_3,SAT_1,1,01-Jan-2030 21:06:05,01-Jan-2030 21:06:50,45,NaN,NaN
Ground_Point_3,SAT_1,2,04-Jan-2030 08:30:45,04-Jan-2030 08:32:05,80,NaN,NaN
Ground_Point_3,SAT_1,3,05-Jan-2030 21:12:50,05-Jan-2030 21:14:00,70,NaN,NaN
Ground_Point_4,SAT_1,1,02-Jan-2030 07:39:35,02-Jan-2030 07:40:50,75,NaN,NaN
Ground_Point_4,SAT_1,2,03-Jan-2030 20:22:25,03-Jan-2030 20:23:45,80,NaN,NaN
Ground_Point_4,SAT_1,3,06-Jan-2030 07:46:40,06-Jan-2030 07:47:35,55,NaN,NaN
Ground_Point_4,SAT_1,4,07-Jan-2030 20:29:25,07-Jan-2030 20:30:35,70,NaN,NaN
Ground_Point_5,SAT_1,1,01-Jan-2030 08:01:15,01-Jan-2030 08:02:20,65,NaN,NaN
Ground_Point_5,SAT_1,2,02-Jan-2030 20:44:35,02-Jan-2030 20:45:45,70,NaN,NaN
Ground_Point_5,SAT_1,3,05-Jan-2030 08:08:35,05-Jan-2030 08:08:50,15,NaN,NaN
Ground_Point_5,SAT_1,4,06-Jan-2030 07:46:35,06-Jan-2030 07:47:30,55,NaN,NaN
Ground_Point_5,SAT_1,5,06-Jan-2030 20:51:45,06-Jan-2030 20:52:20,35,NaN,NaN
Ground_Point_5,SAT_1,6,07-Jan-2030 20:30:10,07-Jan-2030 20:30:45,35,NaN,NaN
Ground_Point_6,SAT_1,1,02-Jan-2030 07:39:45,02-Jan-2030 07:40:40,55,NaN,NaN
Ground_Point_6,SAT_1,2,02-Jan-2030 20:44:35,02-Jan-2030 20:45:20,45,NaN,NaN
Ground_Point_6,SAT_1,3,03-Jan-2030 20:23:05,03-Jan-2030 20:23:35,30,NaN,NaN
Ground_Point_6,SAT_1,4,06-Jan-2030 07:46:30,06-Jan-2030 07:47:45,75,NaN,NaN
Ground_Point_6,SAT_1,5,07-Jan-2030 20:29:40,07-Jan-2030 20:30:50,70,NaN,NaN
Ground_Point_7,SAT_1,1,02-Jan-2030 09:15:15,02-Jan-2030 09:16:15,60,NaN,NaN
Ground_Point_7,SAT_1,2,03-Jan-2030 08:53:55,03-Jan-2030 08:54:25,30,NaN,NaN
Ground_Point_7,SAT_1,3,03-Jan-2030 21:55:55,03-Jan-2030 21:57:10,75,NaN,NaN
Ground_Point_7,SAT_1,4,07-Jan-2030 09:00:30,07-Jan-2030 09:01:40,70,NaN,NaN
