CellID,CenterLatitude,CenterLongitude,CenterX_m,CenterY_m
Cell_001,34.5837805137255,126.584314565395,916020.009031845,1621453.39575253
Cell_002,34.5870907209067,127.674685497272,1016020.00903184,1621453.39575253
Cell_003,34.9759772643009,126.853849177113,941020.009031845,1664754.66594175
Cell_004,34.9776565569533,127.401617676574,991020.009031845,1664754.66594175
Cell_005,34.9768648286314,127.949398150603,1041020.00903184,1664754.66594175
Cell_006,34.9736023928227,128.497123930023,1091020.00903184,1664754.66594175
Cell_007,35.3646161697247,126.575581967905,916020.009031845,1708055.93613097
Cell_008,35.3675730172398,127.1259437395,966020.009031845,1708055.93613097
Cell_009,35.3680232523304,127.676351693974,1016020.00903184,1708055.93613097
Cell_010,35.3659666955516,128.226737874332,1066020.00903184,1708055.93613097
Cell_011,35.3614041664994,128.777034340342,1116020.00903184,1708055.93613097
Cell_012,35.3543374829031,129.327173220799,1166020.00903184,1708055.93613097
Cell_013,35.7568129605935,126.847596371267,941020.009031845,1751357.20632019
Cell_014,35.7585411517065,127.400665550169,991020.009031845,1751357.20632019
Cell_015,35.7577263691971,127.953747172664,1041020.00903184,1751357.20632019
Cell_016,35.7543689399733,128.506771958388,1091020.00903184,1751357.20632019
Cell_017,35.7484702108424,129.059670671407,1141020.00903184,1751357.20632019
Cell_018,36.1453487981253,126.566506969615,916020.009031845,1794658.47650941
Cell_019,36.1483913253967,127.12227109382,966020.009031845,1794658.47650941
Cell_020,36.1488546073922,127.678083229787,1016020.00903184,1794658.47650941
Cell_021,36.146738456966,128.233872729332,1066020.00903184,1794658.47650941
Cell_022,36.1420437288841,128.789568962248,1116020.00903184,1794658.47650941
Cell_023,36.134772318858,129.345101372375,1166020.00903184,1794658.47650941
Cell_024,36.5375461159892,126.841098358834,941020.009031845,1837959.74669864
Cell_025,36.5393241541386,127.399676083249,991020.009031845,1837959.74669864
Cell_026,36.538485870193,127.95826674949,1041020.00903184,1837959.74669864
Cell_027,36.5350316051261,128.516798303414,1091020.00903184,1837959.74669864
Cell_028,36.528962763685,129.075198738568,1141020.00903184,1837959.74669864
Cell_029,36.9259773952878,126.55707601167,916020.009031845,1881261.01688786
Cell_030,36.9291072890603,127.118454374708,966020.009031845,1881261.01688786
Cell_031,36.9295838748606,127.679882692855,1016020.00903184,1881261.01688786
Cell_032,36.9274069574676,128.241287458301,1066020.00903184,1881261.01688786
Cell_033,36.9225774285286,128.802595182545,1116020.00903184,1881261.01688786
Cell_034,36.9150972655308,129.363732456608,1166020.00903184,1881261.01688786
Cell_035,37.3181758122191,126.834345321238,941020.009031845,1924562.28707708
Cell_036,37.3200046934833,127.398647780404,991020.009031845,1924562.28707708
Cell_037,37.3191424384546,127.962963710978,1041020.00903184,1924562.28707708
Cell_038,37.3155894028658,128.527218110523,1091020.00903184,1924562.28707708
Cell_039,37.3093470522579,129.091336027852,1141020.00903184,1924562.28707708
Cell_040,37.7097200602406,127.114487749304,966020.009031845,1967863.5572663
Cell_041,37.710210219654,127.681752833343,1016020.00903184,1967863.5572663
Cell_042,37.7079713030241,128.248993390438,1066020.00903184,1967863.5572663
Cell_043,37.7030042407195,128.816132893022,1116020.00903184,1967863.5572663
Cell_044,38.0764676118888,125.117435138678,791020.009031845,2011164.82745552
Cell_045,38.0866415003143,125.687176891555,841020.009031845,2011164.82745552
Cell_046,38.0940537314379,126.257166752914,891020.009031845,2011164.82745552
Cell_047,38.0987012048616,126.827326822078,941020.009031845,2011164.82745552
Cell_048,38.1005819755407,127.397579052111,991020.009031845,2011164.82745552
Cell_049,38.0996952561018,127.967845316821,1041020.00903184,2011164.82745552
Cell_050,38.0960414177818,128.538047477941,1091020.00903184,2011164.82745552
Cell_051,38.4718874970742,125.391014482363,816020.009031845,2054466.09764475
Cell_052,38.4808041868301,125.963944291717,866020.009031845,2054466.09764475
Cell_053,38.4869188360271,126.537087675799,916020.009031845,2054466.09764475
Cell_054,38.4902288668882,127.110365015691,966020.009031845,2054466.09764475
Cell_055,38.4907328833774,127.683696575432,1016020.00903184,2054466.09764475
Cell_056,38.4884306728834,128.257002571659,1066020.00903184,2054466.09764475
