Source,Target,IntervalNumber,StartTime,EndTime,Duration,StartOrbit,EndOrbit
Ground_Point_1,SAT_1,1,01-Jan-2030 21:06:10,01-Jan-2030 21:07:15,65,NaN,NaN
Ground_Point_1,SAT_1,2,04-Jan-2030 08:30:30,04-Jan-2030 08:31:45,75,NaN,NaN
Ground_Point_1,SAT_1,3,05-Jan-2030 21:13:00,05-Jan-2030 21:14:20,80,NaN,NaN
Ground_Point_2,SAT_1,1,01-Jan-2030 21:06:10,01-Jan-2030 21:07:15,65,NaN,NaN
Ground_Point_2,SAT_1,2,04-Jan-2030 08:30:30,04-Jan-2030 08:31:45,75,NaN,NaN
Ground_Point_2,SAT_1,3,05-Jan-2030 21:13:00,05-Jan-2030 21:14:20,80,NaN,NaN
Ground_Point_3,SAT_1,1,01-Jan-2030 21:07:00,01-Jan-2030 21:08:05,65,NaN,NaN
Ground_Point_3,SAT_1,2,04-Jan-2030 08:29:45,04-Jan-2030 08:31:00,75,NaN,NaN
Ground_Point_3,SAT_1,3,05-Jan-2030 21:13:50,05-Jan-2030 21:15:05,75,NaN,NaN
Ground_Point_4,SAT_1,1,02-Jan-2030 08:34:10,02-Jan-2030 08:34:40,30,NaN,NaN
Ground_Point_4,SAT_1,2,03-Jan-2030 08:12:05,03-Jan-2030 08:13:25,80,NaN,NaN
Ground_Point_4,SAT_1,3,03-Jan-2030 22:37:10,03-Jan-2030 22:37:45,35,NaN,NaN
Ground_Point_4,SAT_1,4,04-Jan-2030 07:50:50,04-Jan-2030 07:51:20,30,NaN,NaN
Ground_Point_4,SAT_1,5,04-Jan-2030 22:15:10,04-Jan-2030 22:16:30,80,NaN,NaN
Ground_Point_4,SAT_1,6,05-Jan-2030 21:54:00,05-Jan-2030 21:54:15,15,NaN,NaN
Ground_Point_4,SAT_1,7,07-Jan-2030 08:19:00,07-Jan-2030 08:20:20,80,NaN,NaN
Ground_Point_5,SAT_1,1,02-Jan-2030 19:17:15,02-Jan-2030 19:18:30,75,NaN,NaN
Ground_Point_5,SAT_1,2,03-Jan-2030 07:10:10,03-Jan-2030 07:11:25,75,NaN,NaN
Ground_Point_5,SAT_1,3,06-Jan-2030 19:24:20,06-Jan-2030 19:25:10,50,NaN,NaN
Ground_Point_5,SAT_1,4,07-Jan-2030 07:17:20,07-Jan-2030 07:18:10,50,NaN,NaN
Ground_Point_6,SAT_1,1,01-Jan-2030 06:43:40,01-Jan-2030 06:44:55,75,NaN,NaN
Ground_Point_6,SAT_1,2,01-Jan-2030 08:17:30,01-Jan-2030 08:18:10,40,NaN,NaN
Ground_Point_6,SAT_1,3,01-Jan-2030 12:57:20,01-Jan-2030 12:58:35,75,NaN,NaN
Ground_Point_6,SAT_1,4,01-Jan-2030 14:31:35,01-Jan-2030 14:31:50,15,NaN,NaN
Ground_Point_6,SAT_1,5,02-Jan-2030 06:22:05,02-Jan-2030 06:23:00,55,NaN,NaN
Ground_Point_6,SAT_1,6,02-Jan-2030 07:55:40,02-Jan-2030 07:56:45,65,NaN,NaN
Ground_Point_6,SAT_1,7,02-Jan-2030 12:35:50,02-Jan-2030 12:36:45,55,NaN,NaN
Ground_Point_6,SAT_1,8,02-Jan-2030 14:09:25,02-Jan-2030 14:10:30,65,NaN,NaN
Ground_Point_6,SAT_1,9,03-Jan-2030 07:33:55,03-Jan-2030 07:35:10,75,NaN,NaN
Ground_Point_6,SAT_1,10,03-Jan-2030 12:14:20,03-Jan-2030 12:15:00,40,NaN,NaN
Ground_Point_6,SAT_1,11,03-Jan-2030 13:47:35,03-Jan-2030 13:48:55,80,NaN,NaN
Ground_Point_6,SAT_1,12,04-Jan-2030 07:12:15,04-Jan-2030 07:13:35,80,NaN,NaN
Ground_Point_6,SAT_1,13,04-Jan-2030 13:25:55,04-Jan-2030 13:27:15,80,NaN,NaN
Ground_Point_6,SAT_1,14,05-Jan-2030 06:50:35,05-Jan-2030 06:51:50,75,NaN,NaN
Ground_Point_6,SAT_1,15,05-Jan-2030 08:24:30,05-Jan-2030 08:25:05,35,NaN,NaN
Ground_Point_6,SAT_1,16,05-Jan-2030 13:04:15,05-Jan-2030 13:05:30,75,NaN,NaN
Ground_Point_6,SAT_1,17,06-Jan-2030 06:29:00,06-Jan-2030 06:30:00,60,NaN,NaN
Ground_Point_6,SAT_1,18,06-Jan-2030 08:02:40,06-Jan-2030 08:03:35,55,NaN,NaN
Ground_Point_6,SAT_1,19,06-Jan-2030 12:42:45,06-Jan-2030 12:43:45,60,NaN,NaN
Ground_Point_6,SAT_1,20,06-Jan-2030 14:16:25,06-Jan-2030 14:17:25,60,NaN,NaN
Ground_Point_6,SAT_1,21,07-Jan-2030 06:07:35,07-Jan-2030 06:08:00,25,NaN,NaN
Ground_Point_6,SAT_1,22,07-Jan-2030 07:40:55,07-Jan-2030 07:42:05,70,NaN,NaN
Ground_Point_6,SAT_1,23,07-Jan-2030 12:21:15,07-Jan-2030 12:22:00,45,NaN,NaN
Ground_Point_6,SAT_1,24,07-Jan-2030 13:54:35,07-Jan-2030 13:55:50,75,NaN,NaN
Ground_Point_7,SAT_1,1,01-Jan-2030 06:43:40,01-Jan-2030 06:44:55,75,NaN,NaN
Ground_Point_7,SAT_1,2,01-Jan-2030 08:17:30,01-Jan-2030 08:18:10,40,NaN,NaN
Ground_Point_7,SAT_1,3,01-Jan-2030 12:57:20,01-Jan-2030 12:58:35,75,NaN,NaN
Ground_Point_7,SAT_1,4,01-Jan-2030 14:31:35,01-Jan-2030 14:31:50,15,NaN,NaN
Ground_Point_7,SAT_1,5,02-Jan-2030 06:22:05,02-Jan-2030 06:23:00,55,NaN,NaN
Ground_Point_7,SAT_1,6,02-Jan-2030 07:55:40,02-Jan-2030 07:56:45,65,NaN,NaN
Ground_Point_7,SAT_1,7,02-Jan-2030 12:35:50,02-Jan-2030 12:36:45,55,NaN,NaN
Ground_Point_7,SAT_1,8,02-Jan-2030 14:09:25,02-Jan-2030 14:10:30,65,NaN,NaN
Ground_Point_7,SAT_1,9,03-Jan-2030 07:33:55,03-Jan-2030 07:35:10,75,NaN,NaN
Ground_Point_7,SAT_1,10,03-Jan-2030 12:14:20,03-Jan-2030 12:15:00,40,NaN,NaN
Ground_Point_7,SAT_1,11,03-Jan-2030 13:47:35,03-Jan-2030 13:48:55,80,NaN,NaN
Ground_Point_7,SAT_1,12,04-Jan-2030 07:12:15,04-Jan-2030 07:13:35,80,NaN,NaN
