Source,Target,IntervalNumber,StartTime,EndTime,Duration,StartOrbit,EndOrbit
Ground_Point_1,SAT_1,1,01-Jan-2030 21:06:10,01-Jan-2030 21:07:15,65,NaN,NaN
Ground_Point_2,SAT_1,1,01-Jan-2030 06:43:40,01-Jan-2030 06:44:55,75,NaN,NaN
Ground_Point_2,SAT_1,2,01-Jan-2030 08:17:30,01-Jan-2030 08:18:10,40,NaN,NaN
Ground_Point_2,SAT_1,3,01-Jan-2030 12:57:20,01-Jan-2030 12:58:35,75,NaN,NaN
Ground_Point_2,SAT_1,4,01-Jan-2030 14:31:35,01-Jan-2030 14:31:50,15,NaN,NaN
Ground_Point_3,SAT_1,1,01-Jan-2030 06:43:40,01-Jan-2030 06:44:55,75,NaN,NaN
Ground_Point_3,SAT_1,2,01-Jan-2030 08:17:30,01-Jan-2030 08:18:10,40,NaN,NaN
Ground_Point_3,SAT_1,3,01-Jan-2030 12:57:20,01-Jan-2030 12:58:35,75,NaN,NaN
Ground_Point_3,SAT_1,4,01-Jan-2030 14:31:35,01-Jan-2030 14:31:50,15,NaN,NaN
Ground_Point_4,SAT_1,1,01-Jan-2030 06:43:40,01-Jan-2030 06:44:55,75,NaN,NaN
Ground_Point_4,SAT_1,2,01-Jan-2030 08:17:30,01-Jan-2030 08:18:10,40,NaN,NaN
Ground_Point_4,SAT_1,3,01-Jan-2030 12:57:20,01-Jan-2030 12:58:35,75,NaN,NaN
Ground_Point_4,SAT_1,4,01-Jan-2030 14:31:35,01-Jan-2030 14:31:50,15,NaN,NaN
Ground_Point_5,SAT_1,1,01-Jan-2030 06:43:40,01-Jan-2030 06:44:55,75,NaN,NaN
Ground_Point_5,SAT_1,2,01-Jan-2030 08:17:30,01-Jan-2030 08:18:10,40,NaN,NaN
Ground_Point_5,SAT_1,3,01-Jan-2030 12:57:20,01-Jan-2030 12:58:35,75,NaN,NaN
Ground_Point_5,SAT_1,4,01-Jan-2030 14:31:35,01-Jan-2030 14:31:50,15,NaN,NaN
Ground_Point_6,SAT_1,1,01-Jan-2030 18:34:35,01-Jan-2030 18:35:50,75,NaN,NaN
Ground_Point_7,SAT_1,1,01-Jan-2030 05:11:50,01-Jan-2030 05:12:55,65,NaN,NaN
Ground_Point_7,SAT_1,2,01-Jan-2030 14:28:55,01-Jan-2030 14:30:15,80,NaN,NaN
Ground_Point_8,SAT_1,1,01-Jan-2030 00:18:35,01-Jan-2030 00:18:40,5,NaN,NaN
Ground_Point_9,SAT_1,1,01-Jan-2030 01:51:15,01-Jan-2030 01:52:30,75,NaN,NaN
Ground_Point_9,SAT_1,2,01-Jan-2030 16:14:45,01-Jan-2030 16:16:00,75,NaN,NaN
Ground_Point_10,SAT_1,1,01-Jan-2030 09:05:15,01-Jan-2030 09:06:30,75,NaN,NaN
Ground_Point_10,SAT_1,2,01-Jan-2030 15:18:45,01-Jan-2030 15:20:00,75,NaN,NaN
Ground_Point_2,SAT_2,1,01-Jan-2030 06:20:20,01-Jan-2030 06:21:15,55,NaN,NaN
Ground_Point_2,SAT_2,2,01-Jan-2030 07:53:55,01-Jan-2030 07:55:00,65,NaN,NaN
Ground_Point_2,SAT_2,3,01-Jan-2030 12:34:05,01-Jan-2030 12:35:00,55,NaN,NaN
Ground_Point_2,SAT_2,4,01-Jan-2030 14:07:40,01-Jan-2030 14:08:45,65,NaN,NaN
Ground_Point_3,SAT_2,1,01-Jan-2030 06:20:20,01-Jan-2030 06:21:15,55,NaN,NaN
Ground_Point_3,SAT_2,2,01-Jan-2030 07:53:55,01-Jan-2030 07:55:00,65,NaN,NaN
Ground_Point_3,SAT_2,3,01-Jan-2030 12:34:05,01-Jan-2030 12:35:00,55,NaN,NaN
Ground_Point_3,SAT_2,4,01-Jan-2030 14:07:40,01-Jan-2030 14:08:45,65,NaN,NaN
Ground_Point_4,SAT_2,1,01-Jan-2030 06:20:20,01-Jan-2030 06:21:15,55,NaN,NaN
Ground_Point_4,SAT_2,2,01-Jan-2030 07:53:55,01-Jan-2030 07:55:00,65,NaN,NaN
