CellID,CenterLatitude,CenterLongitude,CenterX_m,CenterY_m
Cell_001,33.1597275866172,129.816383852925,1216020.00903184,1465568.82307133
Cell_002,33.3314719197842,126.275301450314,886020.009031845,1482889.33114702
Cell_003,33.333404791985,126.490166429699,906020.009031845,1482889.33114702
Cell_004,33.3349660373611,126.705049949066,926020.009031845,1482889.33114702
Cell_005,33.3177904602258,129.713156668795,1206020.00903184,1482889.33114702
Cell_006,33.3137785876941,129.927844991599,1226020.00903184,1482889.33114702
Cell_007,34.2615465501228,129.303204097613,1166020.00903184,1586812.37960115
Cell_008,34.4276011125133,126.586021133678,916020.009031845,1604132.88767684
Cell_009,34.4160171732012,129.41531284978,1176020.00903184,1604132.88767684
Cell_010,34.5829138004829,126.475293008983,906020.009031845,1621453.39575253
Cell_011,34.5845498554493,126.693340516083,926020.009031845,1621453.39575253
Cell_012,34.585796377453,126.911403508377,946020.009031845,1621453.39575253
Cell_013,34.7399558365813,126.582594814154,916020.009031845,1638773.90382822
Cell_014,34.7414055097138,126.801060024107,936020.009031845,1638773.90382822
Cell_015,34.7424633445146,127.019538728294,956020.009031845,1638773.90382822
Cell_016,34.7431292742281,127.238026709452,976020.009031845,1638773.90382822
Cell_017,34.7432852750176,127.675013628556,1016020.00903184,1638773.90382822
Cell_018,34.7427753362479,127.893504128426,1036020.00903184,1638773.90382822
Cell_019,34.89525027022,126.471429302019,906020.009031845,1656094.4119039
Cell_020,34.8969053695256,126.690298719653,926020.009031845,1656094.4119039
Cell_021,34.8981664020521,126.90918385808,946020.009031845,1656094.4119039
Cell_022,34.8990332880197,127.128080468766,966020.009031845,1656094.4119039
Cell_023,34.8995059725788,127.346984301792,986020.009031845,1656094.4119039
Cell_024,34.8974544727189,128.222586839124,1066020.00903184,1656094.4119039
Cell_025,34.8959562004837,128.441463022475,1086020.00903184,1656094.4119039
Cell_026,35.0522942120552,126.579115362869,916020.009031845,1673414.91997959
Cell_027,35.0537607251219,126.798408956688,936020.009031845,1673414.91997959
Cell_028,35.0548308484932,127.017716250969,956020.009031845,1673414.91997959
Cell_029,35.0555045142872,127.237032964009,976020.009031845,1673414.91997959
Cell_030,35.0557816797674,127.45635481296,996020.009031845,1673414.91997959
Cell_031,35.0556623273501,127.675677514348,1016020.00903184,1673414.91997959
Cell_032,35.0551464646071,127.894996784599,1036020.00903184,1673414.91997959
Cell_033,35.054234124265,128.114308340552,1056020.00903184,1673414.91997959
Cell_034,35.0529253641988,128.333607899987,1076020.00903184,1673414.91997959
Cell_035,35.0512202674222,128.552891182142,1096020.00903184,1673414.91997959
Cell_036,35.0466215213925,128.991391801983,1136020.00903184,1673414.91997959
Cell_037,35.2075702812379,126.467505690363,906020.009031845,1690735.42805528
Cell_038,35.2092445670199,126.687209758943,926020.009031845,1690735.42805528
Cell_039,35.2105202183863,126.906929789616,946020.009031845,1690735.42805528
Cell_040,35.2113971542105,127.126661468656,966020.009031845,1690735.42805528
Cell_041,35.2118753187172,127.346400480911,986020.009031845,1690735.42805528
Cell_042,35.211954681492,127.566142510332,1006020.00903184,1690735.42805528
Cell_043,35.2116352374869,127.785883240503,1026020.00903184,1690735.42805528
Cell_044,35.2109170070207,128.005618355164,1046020.00903184,1690735.42805528
Cell_045,35.2098000357762,128.225343538743,1066020.00903184,1690735.42805528
Cell_046,35.2082843947916,128.445054476884,1086020.00903184,1690735.42805528
Cell_047,35.206370180448,128.664746856974,1106020.00903184,1690735.42805528
Cell_048,35.2040575144527,128.884416368672,1126020.00903184,1690735.42805528
Cell_049,35.2013465438173,129.104058704431,1146020.00903184,1690735.42805528
Cell_050,35.3646161697247,126.575581967905,916020.009031845,1708055.93613097
Cell_051,35.3660996491753,126.79571678622,936020.009031845,1708055.93613097
Cell_052,35.3671821534039,127.015865516221,956020.009031845,1708055.93613097
Cell_053,35.367863613382,127.236023810208,976020.009031845,1708055.93613097
Cell_054,35.3681439856511,127.456187319299,996020.009031845,1708055.93613097
Cell_055,35.3680232523304,127.676351693974,1016020.00903184,1708055.93613097
Cell_056,35.3675014211198,127.896512584602,1036020.00903184,1708055.93613097
Cell_057,35.3665785252985,128.116665641984,1056020.00903184,1708055.93613097
Cell_058,35.3652546237193,128.336806517886,1076020.00903184,1708055.93613097
Cell_059,35.3635298007983,128.556930865572,1096020.00903184,1708055.93613097
Cell_060,35.3614041664994,128.777034340342,1116020.00903184,1708055.93613097
Cell_061,35.3588778563153,128.997112600067,1136020.00903184,1708055.93613097
Cell_062,35.3559510312433,129.217161305718,1156020.00903184,1708055.93613097
Cell_063,35.5215673809334,126.684072910005,926020.009031845,1725376.44420666
Cell_064,35.5228577615765,126.904640774628,946020.009031845,1725376.44420666
Cell_065,35.5237448231876,127.125220468001,966020.009031845,1725376.44420666
Cell_066,35.524228509048,127.345807608159,986020.009031845,1725376.44420666
Cell_067,35.5243087882291,127.566397812213,1006020.00903184,1725376.44420666
Cell_068,35.5239856555975,127.786986696893,1026020.00903184,1725376.44420666
Cell_069,35.5232591318157,128.007569879094,1046020.00903184,1725376.44420666
Cell_070,35.5221292633388,128.228142976417,1066020.00903184,1725376.44420666
Cell_071,35.5205961224062,128.448701607715,1086020.00903184,1725376.44420666
Cell_072,35.5186598070285,128.669241393629,1106020.00903184,1725376.44420666
Cell_073,35.5163204409703,128.889757957139,1126020.00903184,1725376.44420666
Cell_074,35.5135781737279,129.110246924099,1146020.00903184,1725376.44420666
Cell_075,35.5104331805031,129.330703923778,1166020.00903184,1725376.44420666
Cell_076,35.6784222169481,126.792982878977,936020.009031845,1742696.95228235
Cell_077,35.6795171961294,127.013986088341,956020.009031845,1742696.95228235
Cell_078,35.6802065095338,127.234999010449,976020.009031845,1742696.95228235
Cell_079,35.6804901129674,127.456017228784,996020.009031845,1742696.95228235
Cell_080,35.6803679882466,127.677036326167,1016020.00903184,1742696.95228235
Cell_081,35.6798401432017,127.898051885307,1036020.00903184,1742696.95228235
Cell_082,35.6789066116753,128.119059489359,1056020.00903184,1742696.95228235
Cell_083,35.6775674535161,128.340054722467,1076020.00903184,1742696.95228235
Cell_084,35.6758227545687,128.561033170317,1096020.00903184,1742696.95228235
Cell_085,35.6736726266577,128.78199042069,1116020.00903184,1742696.95228235
Cell_086,35.6711172075683,129.002922064008,1136020.00903184,1742696.95228235
Cell_087,35.668156661021,129.223823693883,1156020.00903184,1742696.95228235
Cell_088,35.6647911766432,129.444690907666,1176020.00903184,1742696.95228235
Cell_089,35.8338737461039,126.680887431304,926020.009031845,1760017.46035804
Cell_090,35.8351789686272,126.90231627192,946020.009031845,1760017.46035804
Cell_091,35.8360762334448,127.12375712607,966020.009031845,1760017.46035804
Cell_092,35.8365654828774,127.345205543342,986020.009031845,1760017.46035804
Cell_093,35.8366466854722,127.566657072377,1006020.00903184,1760017.46035804
Cell_094,35.8363198360089,127.788107261426,1026020.00903184,1760017.46035804
Cell_095,35.8355849555001,128.009551658906,1046020.00903184,1760017.46035804
Cell_096,35.834442091188,128.230985813964,1066020.00903184,1760017.46035804
Cell_097,35.8328913165354,128.452405277028,1086020.00903184,1760017.46035804
Cell_098,35.8309327312133,128.673805600373,1106020.00903184,1760017.46035804
Cell_099,35.8285664610821,128.895182338674,1126020.00903184,1760017.46035804
Cell_100,35.8257926581698,129.116531049563,1146020.00903184,1760017.46035804
Cell_101,35.8226115006443,129.337847294186,1166020.00903184,1760017.46035804
Cell_102,35.9907283653785,126.790206585816,936020.009031845,1777337.96843373
Cell_103,35.9918359154557,127.012077521014,956020.009031845,1777337.96843373
Cell_104,35.9925331426921,127.233958321351,976020.009031845,1777337.96843373
Cell_105,35.9928200021445,127.455844501018,996020.009031845,1777337.96843373
Cell_106,35.9926964753209,127.677731573526,1016020.00903184,1777337.96843373
Cell_107,35.9921625701842,127.899615052272,1036020.00903184,1777337.96843373
Cell_108,35.9912183211511,128.12149045111,1056020.00903184,1777337.96843373
Cell_109,35.9898637890851,128.343353284912,1076020.00903184,1777337.96843373
Cell_110,35.9880990612864,128.565199070136,1096020.00903184,1777337.96843373
Cell_111,35.9859242514754,128.787023325395,1116020.00903184,1777337.96843373
Cell_112,35.983339499773,129.008821572017,1136020.00903184,1777337.96843373
Cell_113,35.9803449726745,129.230589334612,1156020.00903184,1777337.96843373
Cell_114,35.9769408630206,129.452322141635,1176020.00903184,1777337.96843373
Cell_115,36.1461635992098,126.677652563231,926020.009031845,1794658.47650941
Cell_116,36.1474837784305,126.899955727106,946020.009031845,1794658.47650941
Cell_117,36.1483913253967,127.12227109382,966020.009031845,1794658.47650941
Cell_118,36.14888618145,127.344594142843,986020.009031845,1794658.47650941
Cell_119,36.1489683146039,127.566920352669,1006020.00903184,1794658.47650941
Cell_120,36.1486377195491,127.789245201391,1026020.00903184,1794658.47650941
Cell_121,36.1478944176551,128.011564167274,1046020.00903184,1794658.47650941
Cell_122,36.146738456966,128.233872729332,1066020.00903184,1794658.47650941
Cell_123,36.1451699121917,128.4561663679,1086020.00903184,1794658.47650941
Cell_124,36.1431888846946,128.678440565208,1106020.00903184,1794658.47650941
Cell_125,36.1407955024711,128.900690805959,1126020.00903184,1794658.47650941
Cell_126,36.1379899201288,129.122912577896,1146020.00903184,1794658.47650941
Cell_127,36.134772318858,129.345101372375,1166020.00903184,1794658.47650941
Cell_128,36.3014828709264,126.564649703235,916020.009031845,1811978.9845851
Cell_129,36.3030180332729,126.787387241734,936020.009031845,1811978.9845851
Cell_130,36.3041382520779,127.010139357023,956020.009031845,1811978.9845851
Cell_131,36.3048434547414,127.232901493584,976020.009031845,1811978.9845851
Cell_132,36.3051335955561,127.455669094616,996020.009031845,1811978.9845851
Cell_133,36.3050086557161,127.678437602621,1016020.00903184,1811978.9845851
Cell_134,36.3044686433195,127.901202459984,1036020.00903184,1811978.9845851
Cell_135,36.3035135933678,128.123959109556,1056020.00903184,1811978.9845851
Cell_136,36.3021435677588,128.34670299524,1076020.00903184,1811978.9845851
Cell_137,36.300358655276,128.569429562569,1096020.00903184,1811978.9845851
Cell_138,36.2981589715719,128.792134259291,1116020.00903184,1811978.9845851
Cell_139,36.2955446591476,129.01481253595,1136020.00903184,1811978.9845851
Cell_140,36.2925158873262,129.237459846464,1156020.00903184,1811978.9845851
Cell_141,36.4584368787735,126.674367527581,926020.009031845,1829299.49266079
Cell_142,36.4597721317717,126.897558572226,946020.009031845,1829299.49266079
Cell_143,36.4606900413845,127.120762013667,966020.009031845,1829299.49266079
Cell_144,36.4611905479558,127.343973259533,986020.009031845,1829299.49266079
Cell_145,36.4612736189546,127.567187716447,1006020.00903184,1829299.49266079
Cell_146,36.4609392489816,127.79040079062,1026020.00903184,1829299.49266079
Cell_147,36.4601874597697,128.013607888441,1046020.00903184,1829299.49266079
Cell_148,36.4590183001804,128.236804417067,1066020.00903184,1829299.49266079
Cell_149,36.4574318461944,128.459985785017,1086020.00903184,1829299.49266079
Cell_150,36.4554282008982,128.683147402759,1106020.00903184,1829299.49266079
Cell_151,36.4530074944652,128.906284683302,1126020.00903184,1829299.49266079
Cell_152,36.4501698841317,129.129393042786,1146020.00903184,1829299.49266079
Cell_153,36.4469155541687,129.352467901068,1166020.00903184,1829299.49266079
Cell_154,36.6137385014564,126.560892012368,916020.009031845,1846620.00073648
Cell_155,36.6152911613098,126.784524165417,936020.009031845,1846620.00073648
Cell_156,36.6164241486053,127.008171127935,956020.009031845,1846620.00073648
Cell_157,36.6171373895063,127.231828271703,976020.009031845,1846620.00073648
Cell_158,36.6174308375274,127.455490967181,996020.009031845,1846620.00073648
Cell_159,36.617304473542,127.679154584111,1016020.00903184,1846620.00073648
Cell_160,36.6167583057863,127.902814492117,1036020.00903184,1846620.00073648
Cell_161,36.6157923698579,128.126466061301,1056020.00903184,1846620.00073648
Cell_162,36.6144067287089,128.350104662848,1076020.00903184,1846620.00073648
Cell_163,36.6126014726346,128.573725669618,1096020.00903184,1846620.00073648
Cell_164,36.6103767192569,128.797324456754,1116020.00903184,1846620.00073648
Cell_165,36.6077326135029,129.020896402273,1136020.00903184,1846620.00073648
Cell_166,36.604669327578,129.244436887663,1156020.00903184,1846620.00073648
Cell_167,36.7667267379241,126.222902572114,886020.009031845,1863940.50881217
Cell_168,36.768921075424,126.44695608858,906020.009031845,1863940.50881217
Cell_169,36.7706935251639,126.671031527028,926020.009031845,1863940.50881217
Cell_170,36.772043971333,126.895124225362,946020.009031845,1863940.50881217
Cell_171,36.7729723256812,127.119229519236,966020.009031845,1863940.50881217
